ISP (UTC),Imbalance+ [EUR/MWh],Imbalance- [EUR/MWh],Total Imbalance [MWh]
09.10.2019 07:30 - 09.10.2019 08:00,45.5,50.28,371
09.10.2019 08:00 - 09.10.2019 08:30,45.25,50.01,128
09.10.2019 08:30 - 09.10.2019 09:00,45.25,50.01,179
09.10.2019 09:00 - 09.10.2019 09:30,37,40.9,495
09.10.2019 09:30 - 09.10.2019 10:00,38.94,43.04,715
09.10.2019 10:00 - 09.10.2019 10:30,34.46,38.08,458
09.10.2019 10:30 - 09.10.2019 11:00,35.18,38.88,560
09.10.2019 11:00 - 09.10.2019 11:30,34.47,38.09,711
09.10.2019 11:30 - 09.10.2019 12:00,25.66,28.36,832
09.10.2019 12:00 - 09.10.2019 12:30,20.46,22.62,551
09.10.2019 12:30 - 09.10.2019 13:00,21.12,23.34,939
09.10.2019 13:00 - 09.10.2019 13:30,18.62,20.58,696
09.10.2019 13:30 - 09.10.2019 14:00,18.31,20.23,674
09.10.2019 14:00 - 09.10.2019 14:30,35.38,39.1,57
09.10.2019 14:30 - 09.10.2019 15:00,41.7,46.08,315
09.10.2019 15:00 - 09.10.2019 15:30,54.15,59.85,246
09.10.2019 15:30 - 09.10.2019 16:00,48.05,53.11,412
09.10.2019 16:00 - 09.10.2019 16:30,44.9,49.62,346
09.10.2019 16:30 - 09.10.2019 17:00,49.39,54.59,466
09.10.2019 17:00 - 09.10.2019 17:30,39.61,43.77,194
09.10.2019 17:30 - 09.10.2019 18:00,51.72,57.16,73
09.10.2019 18:00 - 09.10.2019 18:30,48.57,53.69,71
09.10.2019 18:30 - 09.10.2019 19:00,24.56,27.14,440
09.10.2019 19:00 - 09.10.2019 19:30,50.52,55.84,101
09.10.2019 19:30 - 09.10.2019 20:00,19.98,22.08,587
09.10.2019 20:00 - 09.10.2019 20:30,19.33,21.37,733
09.10.2019 20:30 - 09.10.2019 21:00,21.74,24.02,287
09.10.2019 21:00 - 09.10.2019 21:30,19.84,21.92,481
09.10.2019 21:30 - 09.10.2019 22:00,19.86,21.96,741
09.10.2019 22:00 - 09.10.2019 22:30,11.99,13.25,549
09.10.2019 22:30 - 09.10.2019 23:00,14.23,15.73,996
09.10.2019 23:00 - 09.10.2019 23:30,24.26,26.82,256
09.10.2019 23:30 - 10.10.2019 00:00,21.63,23.91,93
10.10.2019 00:00 - 10.10.2019 00:30,37.71,41.67,448
10.10.2019 00:30 - 10.10.2019 01:00,24.25,26.81,96
10.10.2019 01:00 - 10.10.2019 01:30,17.35,19.17,285
10.10.2019 01:30 - 10.10.2019 02:00,15.37,16.99,314
10.10.2019 02:00 - 10.10.2019 02:30,16.95,18.73,217
10.10.2019 02:30 - 10.10.2019 03:00,16.71,18.47,123
10.10.2019 03:00 - 10.10.2019 03:30,17.16,18.96,558
10.10.2019 03:30 - 10.10.2019 04:00,13.44,14.86,277
10.10.2019 04:00 - 10.10.2019 04:30,19.47,21.51,814
10.10.2019 04:30 - 10.10.2019 05:00,32.99,36.47,195
10.10.2019 05:00 - 10.10.2019 05:30,23.07,25.49,49
10.10.2019 05:30 - 10.10.2019 06:00,59.42,65.68,161
10.10.2019 06:00 - 10.10.2019 06:30,32.32,35.72,548
10.10.2019 06:30 - 10.10.2019 07:00,30.24,33.42,549
10.10.2019 07:00 - 10.10.2019 07:30,28.7,31.72,22
10.10.2019 07:30 - 10.10.2019 08:00,30.13,33.31,158
10.10.2019 08:00 - 10.10.2019 08:30,42.25,46.69,127
10.10.2019 08:30 - 10.10.2019 09:00,41.81,46.21,35
10.10.2019 09:00 - 10.10.2019 09:30,40.99,45.31,104
10.10.2019 09:30 - 10.10.2019 10:00,40.99,45.31,313
10.10.2019 10:00 - 10.10.2019 10:30,35.89,39.67,23
10.10.2019 10:30 - 10.10.2019 11:00,43.51,48.09,295
10.10.2019 11:00 - 10.10.2019 11:30,55.23,61.05,149
10.10.2019 11:30 - 10.10.2019 12:00,32.27,35.67,110
10.10.2019 12:00 - 10.10.2019 12:30,25.18,27.83,194
10.10.2019 12:30 - 10.10.2019 13:00,24.38,26.94,670
10.10.2019 13:00 - 10.10.2019 13:30,22.9,25.31,1093
10.10.2019 13:30 - 10.10.2019 14:00,21.82,24.12,1431
10.10.2019 14:00 - 10.10.2019 14:30,17.39,19.23,1060
10.10.2019 14:30 - 10.10.2019 15:00,16.27,17.99,740
10.10.2019 15:00 - 10.10.2019 15:30,20.87,23.07,628
10.10.2019 15:30 - 10.10.2019 16:00,22.37,24.73,29
10.10.2019 16:00 - 10.10.2019 16:30,34.64,38.28,660
10.10.2019 16:30 - 10.10.2019 17:00,26.58,29.38,115
10.10.2019 17:00 - 10.10.2019 17:30,35.83,39.61,618
10.10.2019 17:30 - 10.10.2019 18:00,27.53,30.43,510
10.10.2019 18:00 - 10.10.2019 18:30,28.79,31.83,515
10.10.2019 18:30 - 10.10.2019 19:00,37.36,41.3,718
10.10.2019 19:00 - 10.10.2019 19:30,29.97,33.13,249
10.10.2019 19:30 - 10.10.2019 20:00,15.39,17.01,858
10.10.2019 20:00 - 10.10.2019 20:30,15.31,16.93,879
10.10.2019 20:30 - 10.10.2019 21:00,17.53,19.37,371
10.10.2019 21:00 - 10.10.2019 21:30,20.43,22.59,780
10.10.2019 21:30 - 10.10.2019 22:00,16.79,18.55,596
10.10.2019 22:00 - 10.10.2019 22:30,11.61,12.83,898
10.10.2019 22:30 - 10.10.2019 23:00,10.9,12.04,799
10.10.2019 23:00 - 10.10.2019 23:30,21.51,23.77,24
10.10.2019 23:30 - 11.10.2019 00:00,17.75,19.61,217
11.10.2019 00:00 - 11.10.2019 00:30,3.34,3.7,211
11.10.2019 00:30 - 11.10.2019 01:00,11.07,12.23,404
11.10.2019 01:00 - 11.10.2019 01:30,8.1,8.96,164
11.10.2019 01:30 - 11.10.2019 02:00,9.07,10.03,286
11.10.2019 02:00 - 11.10.2019 02:30,13.81,15.27,173
11.10.2019 02:30 - 11.10.2019 03:00,14.27,15.77,313
11.10.2019 03:00 - 11.10.2019 03:30,23.68,26.18,127
11.10.2019 03:30 - 11.10.2019 04:00,25.83,28.55,548
11.10.2019 04:00 - 11.10.2019 04:30,27.46,30.36,805
11.10.2019 04:30 - 11.10.2019 05:00,41.41,45.77,817
11.10.2019 05:00 - 11.10.2019 05:30,54.54,60.28,248
11.10.2019 05:30 - 11.10.2019 06:00,57.18,63.2,312
11.10.2019 06:00 - 11.10.2019 06:30,36.06,39.86,52
11.10.2019 06:30 - 11.10.2019 07:00,40.9,45.2,189
11.10.2019 07:00 - 11.10.2019 07:30,31.41,34.71,509
11.10.2019 07:30 - 11.10.2019 08:00,33.86,37.42,792
11.10.2019 08:00 - 11.10.2019 08:30,30.86,34.1,443
11.10.2019 08:30 - 11.10.2019 09:00,26.61,29.41,759
11.10.2019 09:00 - 11.10.2019 09:30,22.42,24.78,632
11.10.2019 09:30 - 11.10.2019 10:00,23.64,26.12,865
11.10.2019 10:00 - 11.10.2019 10:30,18.17,20.09,1001
11.10.2019 10:30 - 11.10.2019 11:00,16.57,18.31,975
11.10.2019 11:00 - 11.10.2019 11:30,10.55,11.66,584
11.10.2019 11:30 - 11.10.2019 12:00,10.4,11.5,731
11.10.2019 12:00 - 11.10.2019 12:30,15.11,16.71,561
11.10.2019 12:30 - 11.10.2019 13:00,11.16,12.34,810
11.10.2019 13:00 - 11.10.2019 13:30,6.11,6.75,603
11.10.2019 13:30 - 11.10.2019 14:00,6.14,6.78,640
11.10.2019 14:00 - 11.10.2019 14:30,6.89,7.61,695
11.10.2019 14:30 - 11.10.2019 15:00,8.12,8.98,233
11.10.2019 15:00 - 11.10.2019 15:30,28.86,31.9,111
11.10.2019 15:30 - 11.10.2019 16:00,30.51,33.73,498
11.10.2019 16:00 - 11.10.2019 16:30,38.78,42.86,309
11.10.2019 16:30 - 11.10.2019 17:00,31.97,35.33,521
11.10.2019 17:00 - 11.10.2019 17:30,38.25,42.27,190
11.10.2019 17:30 - 11.10.2019 18:00,54.19,59.89,7
11.10.2019 18:00 - 11.10.2019 18:30,34.3,37.91,353
11.10.2019 18:30 - 11.10.2019 19:00,31.66,35,702
11.10.2019 19:00 - 11.10.2019 19:30,16.39,18.11,826
11.10.2019 19:30 - 11.10.2019 20:00,16.05,17.73,1277
11.10.2019 20:00 - 11.10.2019 20:30,16.51,18.25,1277
11.10.2019 20:30 - 11.10.2019 21:00,12.55,13.87,508
11.10.2019 21:00 - 11.10.2019 21:30,16.98,18.76,611
11.10.2019 21:30 - 11.10.2019 22:00,13.3,14.7,758
11.10.2019 22:00 - 11.10.2019 22:30,7.7,8.52,131
11.10.2019 22:30 - 11.10.2019 23:00,10.74,11.87,1145
11.10.2019 23:00 - 11.10.2019 23:30,10.6,11.72,680
11.10.2019 23:30 - 12.10.2019 00:00,2.19,2.43,636
12.10.2019 00:00 - 12.10.2019 00:30,16.81,18.57,296
12.10.2019 00:30 - 12.10.2019 01:00,33.24,36.74,134
12.10.2019 01:00 - 12.10.2019 01:30,-20.69,-18.72,72
12.10.2019 01:30 - 12.10.2019 02:00,-9.61,-8.69,408
12.10.2019 02:00 - 12.10.2019 02:30,9.82,10.86,38
12.10.2019 02:30 - 12.10.2019 03:00,11.88,13.13,47
12.10.2019 03:00 - 12.10.2019 03:30,14.66,16.2,437
12.10.2019 03:30 - 12.10.2019 04:00,12.72,14.06,9
12.10.2019 04:00 - 12.10.2019 04:30,20.33,22.47,118
12.10.2019 04:30 - 12.10.2019 05:00,18.93,20.93,93
12.10.2019 05:00 - 12.10.2019 05:30,24.89,27.51,335
12.10.2019 05:30 - 12.10.2019 06:00,24.89,27.51,438
12.10.2019 06:00 - 12.10.2019 06:30,20.31,22.45,317
12.10.2019 06:30 - 12.10.2019 07:00,23.3,25.76,198
12.10.2019 07:00 - 12.10.2019 07:30,28.03,30.98,50
12.10.2019 07:30 - 12.10.2019 08:00,28.03,30.98,67
12.10.2019 08:00 - 12.10.2019 08:30,27.11,29.97,213
12.10.2019 08:30 - 12.10.2019 09:00,27.11,29.97,20
12.10.2019 09:00 - 12.10.2019 09:30,24,26.52,255
12.10.2019 09:30 - 12.10.2019 10:00,24,26.52,182
12.10.2019 10:00 - 12.10.2019 10:30,23.28,25.74,132
12.10.2019 10:30 - 12.10.2019 11:00,31.69,35.03,372
12.10.2019 11:00 - 12.10.2019 11:30,24,26.52,375
12.10.2019 11:30 - 12.10.2019 12:00,16.1,17.8,356
12.10.2019 12:00 - 12.10.2019 12:30,6.29,6.95,118
12.10.2019 12:30 - 12.10.2019 13:00,7.94,8.78,545
12.10.2019 13:00 - 12.10.2019 13:30,6.29,6.95,255
12.10.2019 13:30 - 12.10.2019 14:00,7.37,8.15,269
12.10.2019 14:00 - 12.10.2019 14:30,34.27,37.87,243
12.10.2019 14:30 - 12.10.2019 15:00,36.76,40.62,239
12.10.2019 15:00 - 12.10.2019 15:30,33.54,37.08,463
12.10.2019 15:30 - 12.10.2019 16:00,37.73,41.71,545
12.10.2019 16:00 - 12.10.2019 16:30,49,54.16,132
12.10.2019 16:30 - 12.10.2019 17:00,34.44,38.06,229
12.10.2019 17:00 - 12.10.2019 17:30,33.93,37.51,230
12.10.2019 17:30 - 12.10.2019 18:00,42.42,46.88,76
12.10.2019 18:00 - 12.10.2019 18:30,40.27,44.51,396
12.10.2019 18:30 - 12.10.2019 19:00,38.12,42.14,401
12.10.2019 19:00 - 12.10.2019 19:30,47.68,52.7,309
12.10.2019 19:30 - 12.10.2019 20:00,28.13,31.09,266
12.10.2019 20:00 - 12.10.2019 20:30,31.91,35.27,182
12.10.2019 20:30 - 12.10.2019 21:00,31.91,35.27,237
12.10.2019 21:00 - 12.10.2019 21:30,45.32,50.1,318
12.10.2019 21:30 - 12.10.2019 22:00,39.38,43.52,112
12.10.2019 22:00 - 12.10.2019 22:30,29.87,33.01,543
12.10.2019 22:30 - 12.10.2019 23:00,29.87,33.01,117
12.10.2019 23:00 - 12.10.2019 23:30,25.75,28.47,526
12.10.2019 23:30 - 13.10.2019 00:00,23.84,26.34,139
13.10.2019 00:00 - 13.10.2019 00:30,29.43,32.53,336
13.10.2019 00:30 - 13.10.2019 01:00,22.85,25.25,170
13.10.2019 01:00 - 13.10.2019 01:30,15.41,17.03,521
13.10.2019 01:30 - 13.10.2019 02:00,6.33,6.99,461
13.10.2019 02:00 - 13.10.2019 02:30,3.19,3.53,308
13.10.2019 02:30 - 13.10.2019 03:00,1.84,2.04,162
13.10.2019 03:00 - 13.10.2019 03:30,15.26,16.86,80
13.10.2019 03:30 - 13.10.2019 04:00,22.4,24.76,150
13.10.2019 04:00 - 13.10.2019 04:30,20.62,22.8,315
13.10.2019 04:30 - 13.10.2019 05:00,24.22,26.76,217
13.10.2019 05:00 - 13.10.2019 05:30,26.94,29.78,9
13.10.2019 05:30 - 13.10.2019 06:00,21.1,23.32,277
13.10.2019 06:00 - 13.10.2019 06:30,25.74,28.44,813
13.10.2019 06:30 - 13.10.2019 07:00,21.79,24.09,786
13.10.2019 07:00 - 13.10.2019 07:30,9.5,10.5,390
13.10.2019 07:30 - 13.10.2019 08:00,4.78,5.28,414
13.10.2019 08:00 - 13.10.2019 08:30,27.4,30.28,12
13.10.2019 08:30 - 13.10.2019 09:00,5.08,5.62,382
13.10.2019 09:00 - 13.10.2019 09:30,6.26,6.92,624
13.10.2019 09:30 - 13.10.2019 10:00,9.23,10.21,615
13.10.2019 10:00 - 13.10.2019 10:30,5.44,6.02,22
13.10.2019 10:30 - 13.10.2019 11:00,4.96,5.48,228
13.10.2019 11:00 - 13.10.2019 11:30,2.87,3.17,302
13.10.2019 11:30 - 13.10.2019 12:00,0.1,0.11,480
13.10.2019 12:00 - 13.10.2019 12:30,8.09,8.95,38
13.10.2019 12:30 - 13.10.2019 13:00,8.09,8.95,104
13.10.2019 13:00 - 13.10.2019 13:30,14.12,15.6,238
13.10.2019 13:30 - 13.10.2019 14:00,18.73,20.71,364
13.10.2019 14:00 - 13.10.2019 14:30,31.83,35.18,369
13.10.2019 14:30 - 13.10.2019 15:00,24.02,26.54,376
13.10.2019 15:00 - 13.10.2019 15:30,31.4,34.7,275
13.10.2019 15:30 - 13.10.2019 16:00,26.12,28.86,813
13.10.2019 16:00 - 13.10.2019 16:30,26.56,29.36,97
13.10.2019 16:30 - 13.10.2019 17:00,39.74,43.92,244
13.10.2019 17:00 - 13.10.2019 17:30,26.64,29.44,465
13.10.2019 17:30 - 13.10.2019 18:00,38.09,42.09,12
13.10.2019 18:00 - 13.10.2019 18:30,44.38,49.06,51
13.10.2019 18:30 - 13.10.2019 19:00,39.18,43.3,83
13.10.2019 19:00 - 13.10.2019 19:30,29.25,32.33,255
13.10.2019 19:30 - 13.10.2019 20:00,27.64,30.54,122
13.10.2019 20:00 - 13.10.2019 20:30,32.01,35.37,39
13.10.2019 20:30 - 13.10.2019 21:00,40.47,44.73,526
13.10.2019 21:00 - 13.10.2019 21:30,27.77,30.69,96
13.10.2019 21:30 - 13.10.2019 22:00,19.58,21.64,98
13.10.2019 22:00 - 13.10.2019 22:30,32.31,35.71,148
13.10.2019 22:30 - 13.10.2019 23:00,20.75,22.93,631
13.10.2019 23:00 - 13.10.2019 23:30,22.37,24.73,196
13.10.2019 23:30 - 14.10.2019 00:00,31.93,35.29,164
14.10.2019 00:00 - 14.10.2019 00:30,30.75,33.99,531
14.10.2019 00:30 - 14.10.2019 01:00,21.42,23.68,36
14.10.2019 01:00 - 14.10.2019 01:30,17.2,19.02,584
14.10.2019 01:30 - 14.10.2019 02:00,21.91,24.21,494
14.10.2019 02:00 - 14.10.2019 02:30,25.94,28.67,176
14.10.2019 02:30 - 14.10.2019 03:00,24.48,27.06,502
14.10.2019 03:00 - 14.10.2019 03:30,28,30.94,186
14.10.2019 03:30 - 14.10.2019 04:00,27.61,30.51,626
14.10.2019 04:00 - 14.10.2019 04:30,34.02,37.6,202
14.10.2019 04:30 - 14.10.2019 05:00,45.68,50.48,543
14.10.2019 05:00 - 14.10.2019 05:30,53.11,58.7,147
14.10.2019 05:30 - 14.10.2019 06:00,52.55,58.09,608
14.10.2019 06:00 - 14.10.2019 06:30,58.16,64.28,198
14.10.2019 06:30 - 14.10.2019 07:00,47.73,52.75,46
14.10.2019 07:00 - 14.10.2019 07:30,50.14,55.42,408
14.10.2019 07:30 - 14.10.2019 08:00,52.56,58.1,541
14.10.2019 08:00 - 14.10.2019 08:30,57.67,63.75,716
14.10.2019 08:30 - 14.10.2019 09:00,59.03,65.25,507
14.10.2019 09:00 - 14.10.2019 09:30,45.6,50.4,33
14.10.2019 09:30 - 14.10.2019 10:00,45.91,50.75,69
14.10.2019 10:00 - 14.10.2019 10:30,46.26,51.12,22
14.10.2019 10:30 - 14.10.2019 11:00,46.01,50.85,5
14.10.2019 11:00 - 14.10.2019 11:30,44.4,49.08,193
14.10.2019 11:30 - 14.10.2019 12:00,40.85,45.15,30
14.10.2019 12:00 - 14.10.2019 12:30,37.53,41.48,132
14.10.2019 12:30 - 14.10.2019 13:00,37.53,41.48,125
14.10.2019 13:00 - 14.10.2019 13:30,39.1,43.22,29
14.10.2019 13:30 - 14.10.2019 14:00,44.95,49.69,58
14.10.2019 14:00 - 14.10.2019 14:30,37.99,41.99,86
14.10.2019 14:30 - 14.10.2019 15:00,37.99,41.99,356
14.10.2019 15:00 - 14.10.2019 15:30,41.41,45.77,416
14.10.2019 15:30 - 14.10.2019 16:00,42.55,47.03,441
14.10.2019 16:00 - 14.10.2019 16:30,43.01,47.53,1081
14.10.2019 16:30 - 14.10.2019 17:00,34.38,38,379
14.10.2019 17:00 - 14.10.2019 17:30,48.27,53.35,214
14.10.2019 17:30 - 14.10.2019 18:00,50.15,55.43,753
14.10.2019 18:00 - 14.10.2019 18:30,31.04,34.3,282
14.10.2019 18:30 - 14.10.2019 19:00,25.68,28.38,1138
14.10.2019 19:00 - 14.10.2019 19:30,11.11,12.27,35
14.10.2019 19:30 - 14.10.2019 20:00,12.13,13.41,266
14.10.2019 20:00 - 14.10.2019 20:30,14.53,16.05,377
14.10.2019 20:30 - 14.10.2019 21:00,44.85,49.57,470
14.10.2019 21:00 - 14.10.2019 21:30,49.16,54.34,185
14.10.2019 21:30 - 14.10.2019 22:00,30.93,34.19,60
14.10.2019 22:00 - 14.10.2019 22:30,24.7,27.3,493
14.10.2019 22:30 - 14.10.2019 23:00,24.7,27.3,436
14.10.2019 23:00 - 14.10.2019 23:30,26.09,28.83,294
14.10.2019 23:30 - 15.10.2019 00:00,24.43,27.01,173
15.10.2019 00:00 - 15.10.2019 00:30,23.75,26.25,228
15.10.2019 00:30 - 15.10.2019 01:00,23.75,26.25,180
15.10.2019 01:00 - 15.10.2019 01:30,23.06,25.48,191
15.10.2019 01:30 - 15.10.2019 02:00,23.06,25.48,25
15.10.2019 02:00 - 15.10.2019 02:30,23.75,26.25,220
15.10.2019 02:30 - 15.10.2019 03:00,23.75,26.25,197
15.10.2019 03:00 - 15.10.2019 03:30,28.49,31.49,359
15.10.2019 03:30 - 15.10.2019 04:00,31.59,34.91,275
15.10.2019 04:00 - 15.10.2019 04:30,34.26,37.86,446
15.10.2019 04:30 - 15.10.2019 05:00,44.55,49.23,687
15.10.2019 05:00 - 15.10.2019 05:30,49.01,54.17,22
15.10.2019 05:30 - 15.10.2019 06:00,50.01,55.27,260
15.10.2019 06:00 - 15.10.2019 06:30,52.45,57.97,241
15.10.2019 06:30 - 15.10.2019 07:00,52.16,57.65,474
15.10.2019 07:00 - 15.10.2019 07:30,52.48,58,111
15.10.2019 07:30 - 15.10.2019 08:00,54.64,60.4,291
15.10.2019 08:00 - 15.10.2019 08:30,53.16,58.76,75
15.10.2019 08:30 - 15.10.2019 09:00,40.38,44.64,499
15.10.2019 09:00 - 15.10.2019 09:30,48.09,53.15,514
15.10.2019 09:30 - 15.10.2019 10:00,48.09,53.15,923
15.10.2019 10:00 - 15.10.2019 10:30,44.98,49.72,1167
15.10.2019 10:30 - 15.10.2019 11:00,40.38,44.64,1051
15.10.2019 11:00 - 15.10.2019 11:30,30.93,34.19,771
15.10.2019 11:30 - 15.10.2019 12:00,31.82,35.16,1020
15.10.2019 12:00 - 15.10.2019 12:30,27,29.84,337
15.10.2019 12:30 - 15.10.2019 13:00,27.11,29.97,717
15.10.2019 13:00 - 15.10.2019 13:30,25.9,28.62,855
15.10.2019 13:30 - 15.10.2019 14:00,27.57,30.47,1038
15.10.2019 14:00 - 15.10.2019 14:30,25.27,27.93,1198
15.10.2019 14:30 - 15.10.2019 15:00,26.67,29.47,1372
15.10.2019 15:00 - 15.10.2019 15:30,26.37,29.15,416
15.10.2019 15:30 - 15.10.2019 16:00,17.06,18.86,232
15.10.2019 16:00 - 15.10.2019 16:30,24.12,26.66,141
15.10.2019 16:30 - 15.10.2019 17:00,50.77,56.11,178
15.10.2019 17:00 - 15.10.2019 17:30,64.55,71.35,242
15.10.2019 17:30 - 15.10.2019 18:00,64.55,71.35,107
15.10.2019 18:00 - 15.10.2019 18:30,41.26,45.6,273
15.10.2019 18:30 - 15.10.2019 19:00,37.33,41.25,749
15.10.2019 19:00 - 15.10.2019 19:30,28.82,31.86,191
15.10.2019 19:30 - 15.10.2019 20:00,30.92,34.18,708
15.10.2019 20:00 - 15.10.2019 20:30,24.49,27.07,699
15.10.2019 20:30 - 15.10.2019 21:00,26.99,29.83,140
15.10.2019 21:00 - 15.10.2019 21:30,34.26,37.86,210
15.10.2019 21:30 - 15.10.2019 22:00,30.9,34.16,372
15.10.2019 22:00 - 15.10.2019 22:30,33.94,37.52,204
15.10.2019 22:30 - 15.10.2019 23:00,20.94,23.14,790
15.10.2019 23:00 - 15.10.2019 23:30,18.64,20.6,158
15.10.2019 23:30 - 16.10.2019 00:00,18.68,20.64,521
16.10.2019 00:00 - 16.10.2019 00:30,14.78,16.34,227
16.10.2019 00:30 - 16.10.2019 01:00,19.9,22,198
16.10.2019 01:00 - 16.10.2019 01:30,26.98,29.82,115
16.10.2019 01:30 - 16.10.2019 02:00,26.98,29.82,374
16.10.2019 02:00 - 16.10.2019 02:30,26.82,29.64,222
16.10.2019 02:30 - 16.10.2019 03:00,26.82,29.64,76
16.10.2019 03:00 - 16.10.2019 03:30,26.99,29.83,640
16.10.2019 03:30 - 16.10.2019 04:00,25.19,27.85,402
16.10.2019 04:00 - 16.10.2019 04:30,24.99,27.63,567
16.10.2019 04:30 - 16.10.2019 05:00,40.76,45.05,188
16.10.2019 05:00 - 16.10.2019 05:30,27.79,30.71,702
16.10.2019 05:30 - 16.10.2019 06:00,31,34.26,238
16.10.2019 06:00 - 16.10.2019 06:30,37.03,40.93,519
16.10.2019 06:30 - 16.10.2019 07:00,31.87,35.23,568
16.10.2019 07:00 - 16.10.2019 07:30,31.07,34.34,119
16.10.2019 07:30 - 16.10.2019 08:00,32.98,36.46,456
16.10.2019 08:00 - 16.10.2019 08:30,29.57,32.69,403
16.10.2019 08:30 - 16.10.2019 09:00,30.49,33.69,697
16.10.2019 09:00 - 16.10.2019 09:30,24.84,27.46,436
16.10.2019 09:30 - 16.10.2019 10:00,28.59,31.59,606
16.10.2019 10:00 - 16.10.2019 10:30,31.28,34.58,751
16.10.2019 10:30 - 16.10.2019 11:00,28.52,31.52,609
16.10.2019 11:00 - 16.10.2019 11:30,23.84,26.34,178
16.10.2019 11:30 - 16.10.2019 12:00,23.35,25.81,383
16.10.2019 12:00 - 16.10.2019 12:30,21.97,24.29,141
16.10.2019 12:30 - 16.10.2019 13:00,22.9,25.31,365
16.10.2019 13:00 - 16.10.2019 13:30,25.43,28.11,211
16.10.2019 13:30 - 16.10.2019 14:00,25.35,28.01,92
16.10.2019 14:00 - 16.10.2019 14:30,36.2,40.02,2
16.10.2019 14:30 - 16.10.2019 15:00,37.28,41.2,287
16.10.2019 15:00 - 16.10.2019 15:30,44.64,49.34,112
16.10.2019 15:30 - 16.10.2019 16:00,44.64,49.34,560
16.10.2019 16:00 - 16.10.2019 16:30,37.44,41.38,326
16.10.2019 16:30 - 16.10.2019 17:00,33.35,36.86,128
16.10.2019 17:00 - 16.10.2019 17:30,32.63,36.07,219
16.10.2019 17:30 - 16.10.2019 18:00,42.84,47.34,334
16.10.2019 18:00 - 16.10.2019 18:30,46.65,51.56,2
16.10.2019 18:30 - 16.10.2019 19:00,37.4,41.34,164
16.10.2019 19:00 - 16.10.2019 19:30,34.24,37.84,398
16.10.2019 19:30 - 16.10.2019 20:00,34.53,38.17,873
16.10.2019 20:00 - 16.10.2019 20:30,34.34,37.96,979
16.10.2019 20:30 - 16.10.2019 21:00,49.77,55.01,59
16.10.2019 21:00 - 16.10.2019 21:30,36.11,39.91,179
16.10.2019 21:30 - 16.10.2019 22:00,49.73,54.97,50
16.10.2019 22:00 - 16.10.2019 22:30,40.8,45.1,244
16.10.2019 22:30 - 16.10.2019 23:00,28.01,30.95,782
16.10.2019 23:00 - 16.10.2019 23:30,35.56,39.3,111
16.10.2019 23:30 - 17.10.2019 00:00,34.08,37.66,252
17.10.2019 00:00 - 17.10.2019 00:30,30.34,33.54,692
17.10.2019 00:30 - 17.10.2019 01:00,32.7,36.14,341
17.10.2019 01:00 - 17.10.2019 01:30,26.13,28.88,232
17.10.2019 01:30 - 17.10.2019 02:00,25.02,27.66,44
17.10.2019 02:00 - 17.10.2019 02:30,27.01,29.85,204
17.10.2019 02:30 - 17.10.2019 03:00,27.01,29.85,16
17.10.2019 03:00 - 17.10.2019 03:30,29.73,32.85,594
17.10.2019 03:30 - 17.10.2019 04:00,35.32,39.04,86
17.10.2019 04:00 - 17.10.2019 04:30,36.72,40.58,257
17.10.2019 04:30 - 17.10.2019 05:00,49,54.16,992
17.10.2019 05:00 - 17.10.2019 05:30,57.06,63.06,459
17.10.2019 05:30 - 17.10.2019 06:00,55.69,61.55,1233
17.10.2019 06:00 - 17.10.2019 06:30,62.14,68.68,764
17.10.2019 06:30 - 17.10.2019 07:00,62.5,69.08,919
17.10.2019 07:00 - 17.10.2019 07:30,91.31,100.93,851
17.10.2019 07:30 - 17.10.2019 08:00,99.19,109.63,877
17.10.2019 08:00 - 17.10.2019 08:30,47.85,52.89,331
17.10.2019 08:30 - 17.10.2019 09:00,47.24,52.22,626
17.10.2019 09:00 - 17.10.2019 09:30,48.03,53.09,676
17.10.2019 09:30 - 17.10.2019 10:00,52.23,57.73,684
17.10.2019 10:00 - 17.10.2019 10:30,49.11,54.27,535
17.10.2019 10:30 - 17.10.2019 11:00,48.93,54.09,505
17.10.2019 11:00 - 17.10.2019 11:30,46.54,51.44,451
17.10.2019 11:30 - 17.10.2019 12:00,35.33,39.05,533
17.10.2019 12:00 - 17.10.2019 12:30,47.59,52.59,670
17.10.2019 12:30 - 17.10.2019 13:00,54.05,59.73,279
17.10.2019 13:00 - 17.10.2019 13:30,51.13,56.51,843
17.10.2019 13:30 - 17.10.2019 14:00,59.63,65.91,571
17.10.2019 14:00 - 17.10.2019 14:30,62.29,68.85,226
17.10.2019 14:30 - 17.10.2019 15:00,49.22,54.4,140
17.10.2019 15:00 - 17.10.2019 15:30,45.51,50.31,661
17.10.2019 15:30 - 17.10.2019 16:00,33.36,36.88,264
17.10.2019 16:00 - 17.10.2019 16:30,41.71,46.11,650
17.10.2019 16:30 - 17.10.2019 17:00,41.14,45.48,409
17.10.2019 17:00 - 17.10.2019 17:30,59.95,66.27,181
17.10.2019 17:30 - 17.10.2019 18:00,57.29,63.32,417
17.10.2019 18:00 - 17.10.2019 18:30,58.57,64.73,64
17.10.2019 18:30 - 17.10.2019 19:00,51.78,57.23,395
17.10.2019 19:00 - 17.10.2019 19:30,63.69,70.39,745
17.10.2019 19:30 - 17.10.2019 20:00,69.09,76.37,5
17.10.2019 20:00 - 17.10.2019 20:30,30.19,33.37,613
